pull_date,pull_time,location,update_time,pct_full,date,time,wday
12/29/22,12:59,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/29/22,12:59,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/29/22,13:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/29/22,13:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/29/22,13:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/29/22,13:00,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/29/22,13:00,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/29/22,13:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/29/22,13:55,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/29/22,13:55,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/29/22,13:55,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/29/22,13:55,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/29/22,13:55,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/29/22,13:55,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/29/22,14:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/29/22,14:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/29/22,14:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/29/22,14:00,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/29/22,14:00,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/29/22,14:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/29/22,22:55,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/29/22,22:55,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/29/22,22:55,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/29/22,22:55,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/29/22,22:55,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/29/22,22:55,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/30/22,19:55,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/30/22,19:55,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/30/22,19:55,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/30/22,19:55,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/30/22,19:55,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/30/22,19:55,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/30/22,20:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/30/22,20:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/30/22,20:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/30/22,20:00,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/30/22,20:00,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/30/22,20:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
